"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM49A",1.67553696106009e-55,-1.06345680473987,0.124,0.389,3.47137747592429e-51
"ACYP2",1.71385637396055e-55,0.822399079057501,0.393,0.146,3.55076763557147e-51
"TACC1",1.71441905322029e-55,-0.773481403984771,0.344,0.613,3.5519333944618e-51
"GTF2IRD2",1.77243891385923e-55,0.647658957722023,0.351,0.121,3.67213894173356e-51
"MAP2K3",2.25862970008008e-55,-0.970714555366952,0.22,0.48,4.67942901262591e-51
"KIAA1467",2.32247511365569e-55,0.831925262873056,0.302,0.092,4.81170394047186e-51
"PGAM2",2.32377348959062e-55,0.948477263803303,0.185,0.032,4.81439391573385e-51
"BDH2",2.63596138101581e-55,0.965853313192015,0.319,0.107,5.46118478918856e-51
"PRSS23",2.67391709568847e-55,0.915456775136678,0.165,0.023,5.53982143884737e-51
"FBLN1",3.06956809423331e-55,0.929130873628378,0.19,0.033,6.35953117763256e-51
"AHDC1",4.19720480572586e-55,0.691131151262629,0.298,0.09,8.69576891650284e-51
"CNPY3",4.30737492288048e-55,-0.871014017339939,0.262,0.517,8.92401936522378e-51
"C1QTNF1",4.59202477914634e-55,0.768664993292545,0.132,0.011,9.51375693743539e-51
"ODZ4",5.36521761060048e-55,0.862106377062549,0.229,0.052,1.11156578456421e-50
"DHRS7",5.68182711779723e-55,-0.830571569193424,0.258,0.552,1.17716094226523e-50
"PDZD11",5.85501009748748e-55,0.874281881413649,0.438,0.183,1.21304099199746e-50
"CHMP2A",6.13731517144362e-55,0.67011699378704,0.655,0.401,1.27152895721969e-50
"SPRED2",6.30166501682963e-55,0.854502314763075,0.486,0.231,1.30557895818676e-50
"ATP5F1",6.34933737497979e-55,0.624301119413322,0.712,0.47,1.31545571734831e-50
"C7orf59",6.56048501244245e-55,0.496670094894319,0.806,0.585,1.35920128487783e-50
"CBLL1",6.98529835200721e-55,0.952510691028853,0.366,0.139,1.44721411256885e-50
"RNF130",7.48359612072028e-55,-0.681429689475918,0.386,0.647,1.55045144429083e-50
"KLF9",7.54801454743682e-55,0.852115312742335,0.426,0.182,1.56379765393796e-50
"GPR125",9.63256264279767e-55,0.892160268797038,0.22,0.048,1.99567432833482e-50
"BHLHE41",1.01856178503188e-54,-0.972707296626512,0.22,0.474,2.11025630622905e-50
"NDUFB9",1.0356230430604e-54,0.622405590596599,0.725,0.457,2.14560382061254e-50
"E2F5",1.04496806656999e-54,0.782818048918195,0.147,0.017,2.1649648403197e-50
"STOML2",1.1198840653178e-54,0.875208058712723,0.457,0.21,2.32017580652541e-50
"C9orf46",1.14264757916074e-54,0.921107874301031,0.313,0.102,2.36733725450523e-50
"NSUN5P1",1.15851819614093e-54,0.800783760394748,0.292,0.089,2.40021799876478e-50
"VMO1",1.31310943640434e-54,-1.26263388938855,0.015,0.225,2.72050013034251e-50
"PCDH10",1.34600793116213e-54,0.804085231581492,0.265,0.072,2.78865923178169e-50
"SPATA17",1.36845476338428e-54,0.727646680713659,0.115,0.006,2.83516457877955e-50
"SHROOM3",1.40036003286019e-54,0.778867183967233,0.128,0.01,2.90126591607974e-50
"MEAF6",1.43728808450854e-54,0.840476837811263,0.479,0.223,2.9777734534848e-50
"LOC100505738",1.49144987223288e-54,0.675614500786426,0.344,0.117,3.08998584529209e-50
"ARSE",1.53694398155054e-54,0.765288760537505,0.138,0.013,3.1842405409764e-50
"ROBO3",1.56714080086309e-54,0.892367539023559,0.353,0.128,3.24680231122814e-50
"NME4",1.6156629293323e-54,0.752573834109447,0.554,0.295,3.34733045699065e-50
"PUF60",1.73097182422671e-54,0.710268318426545,0.633,0.377,3.5862274254329e-50
"MOB4",1.89721053368809e-54,0.741861186705122,0.277,0.077,3.93064078369499e-50
"LOC100134868",2.21809572280137e-54,0.72311642818378,0.206,0.042,4.59545071849988e-50
"CHI3L2",2.34459250125821e-54,0.940790758030901,0.135,0.012,4.85752674410676e-50
"B4GALNT4",2.42593663735821e-54,0.815861727617552,0.205,0.042,5.02605552527875e-50
"EIF3I",2.55970642845892e-54,0.715867821761805,0.626,0.39,5.30319977848119e-50
"CNIH2",2.74777836106183e-54,0.590238588426106,0.163,0.023,5.69284720844789e-50
"COQ9",2.99216313474666e-54,0.953812772801169,0.316,0.104,6.19916358256813e-50
"PCDHB14",3.05826675058521e-54,0.77835702709691,0.155,0.019,6.33611705386244e-50
"PBXIP1",3.6452319764884e-54,0.882618832284929,0.343,0.123,7.55219160888867e-50
"LSM2",3.94353064354694e-54,0.849797030453245,0.4,0.157,8.17020678730056e-50
"PER1",4.04726621210166e-54,-0.701800253284711,0.433,0.658,8.38512613823222e-50
"CACHD1",4.32479219926827e-54,0.833823610362072,0.19,0.035,8.960104478444e-50
"MFSD1",4.54343644098141e-54,-0.840369720968307,0.27,0.544,9.41309161842529e-50
"GLI2",5.09062402659805e-54,0.757198226513679,0.126,0.009,1.05467548583058e-49
"SMAD9",5.28675898204947e-54,0.901974488381534,0.171,0.027,1.09531072590101e-49
"EBI3",5.45680777213066e-54,-1.17820485715669,0.001,0.199,1.13054143423003e-49
"PEA15",5.98102781576296e-54,0.391393371032157,0.866,0.724,1.23914934286977e-49
"SNCA",6.1175767066196e-54,-1.2612955517409,0.003,0.202,1.26743954207745e-49
"VCAM1",6.542910155094e-54,0.832383491695291,0.126,0.009,1.35556012593238e-49
"TIMP1",6.70412496392937e-54,0.63756021163494,0.695,0.443,1.38896061002689e-49
"NAPSB",6.73255836835815e-54,-1.30871001945169,0.003,0.201,1.39485144275644e-49
"CHST12",6.89401330364039e-54,0.880718859876774,0.259,0.07,1.42830167624822e-49
"RCN2",7.47437597006918e-54,0.813635518380479,0.53,0.253,1.54854121347893e-49
"PRDX6",7.51049855010525e-54,0.691071070971303,0.627,0.391,1.55602508961081e-49
"MRPL20",7.94444659309717e-54,0.674513772171303,0.647,0.389,1.64593044515787e-49
"SYNM",8.05638147099226e-54,0.857625422748949,0.179,0.03,1.66912111316018e-49
"PRDX4",8.45371314603746e-54,0.773346163205216,0.543,0.285,1.75144028959604e-49
"C7orf49",8.73958114106234e-54,0.822602909299418,0.391,0.149,1.8106664208053e-49
"C2orf28",9.85371332019611e-54,0.682131404476364,0.659,0.405,2.04149232567823e-49
"SS18",1.05543662201688e-53,0.887238146417827,0.386,0.152,2.18665359349457e-49
"ST5",1.06583085745733e-53,0.908353852078619,0.38,0.153,2.2081883704801e-49
"SLC16A3",1.16186445403621e-53,-0.997337109990512,0.082,0.337,2.40715077587222e-49
"TMEM231",1.28364284762288e-53,0.916574142274164,0.193,0.037,2.65945125170508e-49
"COX5B",1.3085409671934e-53,0.480953500760477,0.843,0.613,2.7110351758313e-49
"NFASC",1.35022968526653e-53,0.860179983873282,0.339,0.115,2.7974058619352e-49
"ZSWIM6",1.40451510380899e-53,-0.975464811931716,0.141,0.402,2.90987439207147e-49
"NCF2",1.43465778307774e-53,-1.2842314143809,0.024,0.237,2.97232399498047e-49
"STARD8",1.45110511667591e-53,-1.17060730635454,0.018,0.228,3.00639958072915e-49
"HLTF",1.70098307145704e-53,0.86604736763728,0.388,0.155,3.5240967274447e-49
"COQ4",1.72817093955237e-53,0.860460903340115,0.362,0.136,3.58042455256459e-49
"DBNDD1",1.89772556461235e-53,0.929059735013726,0.199,0.039,3.93170782476386e-49
"PCDHB10",1.9321682050167e-53,0.664742179814669,0.116,0.006,4.00306608715359e-49
"AIMP2",2.08434089130101e-53,0.914619473033332,0.309,0.101,4.31833745859743e-49
"YIF1A",2.09657455051399e-53,0.835588392107773,0.476,0.224,4.34368315375488e-49
"ITGB3BP",2.14429032596652e-53,0.840825871759947,0.249,0.066,4.44254069733743e-49
"RFC4",2.16309320177292e-53,0.968417289159149,0.227,0.055,4.48149649543313e-49
"UNG",2.29579405845085e-53,0.966811262974797,0.273,0.08,4.75642613029847e-49
"ZNF664",2.31749467340346e-53,0.809304302574782,0.382,0.151,4.80138546435729e-49
"NCF1",2.51529589065827e-53,-1.16869937397836,0.007,0.206,5.2111900262658e-49
"PAM16",2.51782658331756e-53,0.703184142986953,0.251,0.066,5.21643311531732e-49
"ATP1B3",2.84975765961511e-53,-0.608018578424187,0.455,0.656,5.90412791919058e-49
"SWI5",3.15003306383926e-53,0.898253027926868,0.284,0.086,6.52623850166218e-49
"PMPCB",3.59335957129705e-53,0.824271632361138,0.501,0.244,7.44472235981323e-49
"SLC7A3",3.86014798510557e-53,0.834665411969295,0.106,0.004,7.99745459554173e-49
"BRIX1",3.96827645913163e-53,0.916593149378293,0.329,0.116,8.22147516802891e-49
"C20orf30",3.97442783120214e-53,0.736363458373377,0.602,0.333,8.23421958068459e-49
"NUDCD3",4.25915472540089e-53,0.838494356421629,0.458,0.215,8.82411676008557e-49
"MCL1",4.58279557137285e-53,-0.491308184706819,0.587,0.783,9.49463586477028e-49
"CCND1",5.52248792623825e-53,-1.04733361228601,0.101,0.358,1.14414904855804e-48
"RP9",5.66952895358254e-53,0.843821814166181,0.277,0.083,1.17461300860323e-48
"C1orf194",5.86843104984377e-53,0.708858861910443,0.112,0.006,1.21582154490663e-48
"RUVBL1",6.10890259062333e-53,0.948513548490194,0.273,0.082,1.26564243872534e-48
"C12orf65",6.26305292374411e-53,0.875571492967109,0.263,0.073,1.2975793047413e-48
"RAB6B",6.77202669038822e-53,0.828435386942327,0.216,0.048,1.40302848971463e-48
"SRRM2",7.00298127956596e-53,-0.413200356717838,0.718,0.882,1.45087766150047e-48
"TNIK",7.3127203840355e-53,0.805177089643152,0.353,0.124,1.51504940916447e-48
"BAZ1B",9.52184877631428e-53,0.771173003404582,0.549,0.299,1.97273662947679e-48
"LHFP",9.65478107122497e-53,0.854912880476491,0.268,0.073,2.00027754233639e-48
"ANKFN1",9.94502195023855e-53,0.767858323577935,0.14,0.015,2.06040964765042e-48
"TAF9",1.020581957043e-52,0.760617803115133,0.565,0.295,2.11444169860168e-48
"SMAD5",1.07568818414189e-52,0.739987258128423,0.49,0.23,2.22861077990518e-48
"LOC100507421",1.22524682398737e-52,0.762940128509889,0.184,0.033,2.53846636993704e-48
"GPI",1.3116207578088e-52,0.576732965741908,0.775,0.529,2.71741588602826e-48
"FBXO21",1.3406591765997e-52,0.820993056334929,0.453,0.205,2.77757768207926e-48
"GULP1",1.42007611411512e-52,0.695720416836113,0.114,0.006,2.94211369322371e-48
"HIGD1A",1.43414932727648e-52,0.703856378491352,0.618,0.359,2.9712705762514e-48
"ARL6IP6",1.55582887150995e-52,0.900922208280304,0.311,0.106,3.22336625599431e-48
"RUNX1",2.26432001718168e-52,-0.902456480696531,0.226,0.49,4.69121821159701e-48
"CLNS1A",2.33323118035406e-52,0.874504798529329,0.443,0.208,4.83398835945754e-48
"RPL26L1",2.48349470123603e-52,0.81073239235456,0.411,0.174,5.1453043220208e-48
"C1orf86",3.01732577599784e-52,0.740197975724001,0.484,0.23,6.25129554271233e-48
"PECAM1",3.35716324404761e-52,-1.16042669292574,0.008,0.205,6.95537080901785e-48
"NDUFB4",3.52775560262986e-52,0.54967644560704,0.752,0.503,7.30880405752855e-48
"MRPL19",3.56248454063259e-52,0.814593140733455,0.415,0.178,7.3807554712826e-48
"H2AFV",3.61040125921539e-52,0.649808119984511,0.672,0.402,7.48002932884246e-48
"CNTNAP3",3.91495722748309e-52,0.563746257625142,0.142,0.016,8.11100838389947e-48
"PCDHB7",4.07559936274478e-52,0.759471517408953,0.13,0.012,8.44382675973463e-48
"CCDC56",4.56078280262723e-52,0.763989579543803,0.54,0.271,9.4490298104831e-48
"CCRL2",5.07623435021988e-52,-1.21478555509558,0.002,0.194,1.05169423267856e-47
"MECOM",5.25977505599327e-52,0.68177656566171,0.107,0.004,1.08972019610069e-47
"FAM86DP",5.31922209328191e-52,0.809863506482654,0.188,0.036,1.10203643328615e-47
"KYNU",5.47258443703799e-52,-1.1998543592207,0.006,0.201,1.13381004366553e-47
"TMEM173",6.63605471212796e-52,-1.22441422118834,0.004,0.197,1.37485781525867e-47
"PFKM",7.63141068986419e-52,0.869450789419715,0.379,0.147,1.58107566672606e-47
"RTN3",7.65497650177707e-52,0.522214229271042,0.796,0.577,1.58595803163817e-47
"SALL1",8.44840587103982e-52,0.838114001623836,0.385,0.155,1.75034072836203e-47
"P2RX7",9.10686200993762e-52,-1.13062406146908,0.076,0.315,1.88675967121888e-47
"ANXA11",9.19511053286816e-52,-1.08432691636855,0.097,0.34,1.90504300019963e-47
"FGD2",9.75797491389135e-52,-1.06594087695751,0.007,0.201,2.02165724266001e-47
"LSP1",1.30722623002682e-51,-1.27034013232096,0.034,0.243,2.70831130336958e-47
"HEATR2",1.36745392874739e-51,0.894478225166108,0.25,0.07,2.83309104957884e-47
"SFXN1",1.37097331972033e-51,0.85995139637073,0.363,0.141,2.84038252379657e-47
"EGR3",1.38447010879439e-51,-1.06142897703026,0.178,0.419,2.86834517140023e-47
"COPG2",1.55257379211406e-51,0.79798643040616,0.22,0.052,3.21662238250191e-47
"HBEGF",1.58704076971771e-51,-0.96170702853734,0.207,0.457,3.28803106670115e-47
"TLN1",1.71177754346815e-51,-0.596962776167912,0.494,0.704,3.54646071455731e-47
"KLHDC10",2.31964763884665e-51,0.803861898359098,0.321,0.109,4.80584597816249e-47
"NDUFS4",2.3565189334719e-51,0.772459160391727,0.491,0.234,4.88223592636708e-47
"ABCC4",2.36795742737438e-51,-1.12796069017705,0.071,0.303,4.90593419803423e-47
"EHBP1",2.49718442101e-51,0.920439189375686,0.266,0.079,5.17366668344852e-47
"IRAK2",2.54803347076365e-51,-1.12983860832959,0.1,0.338,5.27901574472813e-47
"JAK3",2.87880012282042e-51,-1.11794425893071,0.021,0.224,5.96429809445935e-47
"GABARAPL2",2.98117732694188e-51,0.554088646015179,0.763,0.516,6.17640318595819e-47
"MRPL42",3.57762813311977e-51,0.864700302308815,0.384,0.156,7.41212996619754e-47
"ACHE",3.84675206700551e-51,0.855540339062697,0.276,0.082,7.96970093242201e-47
"GSTP1",4.18299121436784e-51,0.448825225214126,0.83,0.625,8.6663211979273e-47
"ATP8B4",5.03729520290739e-51,-1.17277619361798,0.011,0.207,1.04362682013835e-46
"C2orf77",5.12152190232189e-51,0.717287374068727,0.185,0.035,1.06107690772305e-46
"TCOF1",5.16727272397886e-51,-1.01924052899756,0.15,0.398,1.07055556295394e-46
"NDUFB5",5.26270711059399e-51,0.743612257456058,0.559,0.286,1.09032765917286e-46
"ACP1",5.60180456347357e-51,0.785925496393628,0.5,0.251,1.16058186946045e-46
"RGMB",5.89360260161039e-51,0.851416223884067,0.319,0.108,1.22103658700164e-46
"DCAKD",6.25802883517563e-51,0.863592967866081,0.231,0.059,1.29653841407169e-46
"ATP5G1",7.08674152703972e-51,0.663487169204527,0.645,0.367,1.46823110957209e-46
"PIGY",7.46499018335076e-51,0.72359096135659,0.6,0.333,1.54659666618661e-46
"CPVL",7.52459612964774e-51,-1.16531097686851,0.071,0.298,1.55894582614042e-46
"SIGLEC9",8.12610591826303e-51,-1.22573690829863,0.001,0.188,1.68356662414573e-46
"VPS72",9.11121089352222e-51,0.890306095801951,0.396,0.17,1.88766067291993e-46
"TMEM106B",9.19374833056289e-51,0.827530486708505,0.38,0.153,1.90476077912602e-46
"CRMP1",1.09306559969555e-50,0.869868049733029,0.353,0.127,2.26461330944923e-46
"DTYMK",1.09477425764963e-50,0.856589717665271,0.342,0.125,2.26815330699851e-46
"S100A8",1.10748727864684e-50,-1.26498056794901,0.013,0.209,2.29449214390053e-46
"IGSF21",1.12622684501449e-50,-1.00057209014299,0.113,0.37,2.33331677750102e-46
"CLEC18B",1.17522566158318e-50,0.709039153188685,0.137,0.016,2.43483252566804e-46
"GOLGA7",1.18242496504807e-50,0.796171985102467,0.509,0.255,2.4497480425866e-46
"POU2F2",1.39824024213565e-50,-1.05330415220809,0.026,0.232,2.89687413365663e-46
"C16orf53",1.46277230093686e-50,0.835957499670464,0.322,0.113,3.030571653081e-46
"C16orf13",1.51306104475103e-50,0.710037177302625,0.544,0.281,3.13475987251518e-46
"FBXO17",1.77608931486539e-50,0.854882783908082,0.178,0.033,3.67970184253812e-46
"MOSPD3",1.79520666098596e-50,0.83299729127757,0.307,0.104,3.71930916023072e-46
"GRB10",1.91259247299879e-50,0.906768380208856,0.205,0.046,3.96250908555889e-46
"PABPC4",1.91549204770125e-50,-0.823019581864533,0.328,0.562,3.96851642442744e-46
"ARPC1B",2.10348622336403e-50,-0.790858777789082,0.301,0.545,4.35800275756559e-46
"EHD4",2.1876806807233e-50,-1.15395447231704,0.026,0.233,4.53243683432253e-46
"DBX2",2.45387210836347e-50,0.855329613187961,0.159,0.024,5.08393223410743e-46
"SLC7A5",2.61532812079912e-50,-1.00425786994018,0.122,0.374,5.41843680067162e-46
"LOC100133091",2.63203952072474e-50,0.662748355552552,0.283,0.087,5.45305947903751e-46
"ENTPD1",2.78093087222626e-50,-1.04015646696794,0.119,0.364,5.76153258107836e-46
"CIITA",2.84883563694905e-50,-1.13251366808456,0.042,0.258,5.90221767263104e-46
"ARHGAP22",2.92623868461104e-50,-1.1688893385151,0.017,0.217,6.06258130677716e-46
"TIMM44",3.06061230809784e-50,0.739584778528484,0.36,0.14,6.3409765799171e-46
"SMO",3.1966912428665e-50,0.641916983119899,0.114,0.008,6.62290491697082e-46
"MAN1A1",3.3582996453049e-50,-1.1008947741789,0.02,0.222,6.95772520514269e-46
"PEX10",3.54405838973082e-50,0.90937140255547,0.243,0.065,7.34258017184432e-46
"MFF",3.71963463278611e-50,0.725918315833343,0.58,0.327,7.70633903220625e-46
"MRPL50",4.48692582526338e-50,0.871166777073288,0.32,0.11,9.29601292478068e-46
"CD44",4.56070760814359e-50,0.598444991057775,0.633,0.447,9.44887402255189e-46
"NAA38",4.59192110712945e-50,0.729392713662443,0.479,0.226,9.51354214975079e-46
"SIAE",4.7044674045853e-50,0.877299748600018,0.237,0.063,9.74671556881983e-46
